timestamp,value
1651478400000,106.0
1651478460000,106.0
1651478520000,46.0
1651478580000,104.0
1651478640000,55.0
1651478700000,88.0
1651478760000,66.0
1651478820000,83.0
1651478880000,70.0
1651478940000,88.0
1651479000000,60.0
1651479060000,94.0
1651479120000,64.0
1651479180000,94.0
1651479240000,79.0
1651479300000,76.0
1651479360000,79.0
1651479420000,72.0
1651479480000,72.0
1651479540000,81.0
1651479600000,84.0
1651479660000,65.0
1651479720000,87.0
1651479780000,61.0
1651479840000,85.0
1651479900000,71.0
1651479960000,93.0
1651480020000,71.0
1651480080000,83.0
1651480140000,69.0
1651480200000,83.0
1651480260000,81.0
1651480320000,67.0
1651480380000,86.0
1651480440000,71.0
1651480500000,81.0
1651480560000,79.0
1651480620000,81.0
1651480680000,74.0
1651480740000,79.0
1651480800000,68.0
1651480860000,91.0
1651480920000,72.0
1651480980000,79.0
1651481040000,80.0
1651481100000,75.0
1651481160000,85.0
1651481220000,69.0
1651481280000,75.0
1651481340000,74.0
1651481400000,77.0
1651481460000,80.0
1651481520000,76.0
1651481580000,70.0
1651481640000,69.0
1651481700000,77.0
1651481760000,90.0
1651481820000,79.0
1651481880000,80.0
1651481940000,71.0
1651482000000,64.0
1651482060000,64.0
1651482120000,80.0
1651482180000,70.0
1651482240000,88.0
1651482300000,67.0
1651482360000,81.0
1651482420000,68.0
1651482480000,86.0
1651482540000,73.0
1651482600000,85.0
1651482660000,62.0
1651482720000,101.0
1651482780000,58.0
1651482840000,97.0
1651482900000,60.0
1651482960000,90.0
1651483020000,69.0
1651483080000,75.0
1651483140000,69.0
1651483200000,90.0
1651483260000,68.0
1651483320000,91.0
1651483380000,59.0
1651483440000,83.0
1651483500000,77.0
1651483560000,77.0
1651483620000,70.0
1651483680000,77.0
1651483740000,70.0
1651483800000,85.0
1651483860000,73.0
1651483920000,70.0
1651483980000,73.0
1651484040000,74.0
1651484100000,80.0
1651484160000,77.0
1651484220000,77.0
1651484280000,86.0
1651484340000,76.0
1651484400000,81.0
1651484460000,69.0
1651484520000,61.0
1651484580000,36.0
1651484640000,84.0
1651484700000,67.0
1651484760000,79.0
1651484820000,71.0
1651484880000,84.0
1651484940000,59.0
1651485000000,84.0
1651485060000,72.0
1651485120000,77.0
1651485180000,74.0
1651485240000,75.0
1651485300000,73.0
1651485360000,82.0
1651485420000,59.0
1651485480000,90.0
1651485540000,67.0
1651485600000,70.0
1651485660000,70.0
1651485720000,72.0
1651485780000,84.0
1651485840000,70.0
1651485900000,74.0
1651485960000,64.0
1651486020000,83.0
1651486080000,76.0
1651486140000,72.0
1651486200000,80.0
1651486260000,83.0
1651486320000,69.0
1651486380000,79.0
1651486440000,69.0
1651486500000,79.0
1651486560000,80.0
1651486620000,76.0
1651486680000,71.0
1651486740000,88.0
1651486800000,73.0
1651486860000,80.0
1651486920000,69.0
1651486980000,78.0
1651487040000,83.0
1651487100000,71.0
1651487160000,67.0
1651487220000,91.0
1651487280000,66.0
1651487340000,86.0
1651487400000,73.0
1651487460000,79.0
1651487520000,76.0
1651487580000,76.0
1651487640000,79.0
1651487700000,67.0
1651487760000,79.0
1651487820000,77.0
1651487880000,75.0
1651487940000,75.0
1651488000000,72.0
1651488060000,82.0
1651488120000,73.0
1651488180000,72.0
1651488240000,69.0
1651488300000,80.0
1651488360000,72.0
1651488420000,82.0
1651488480000,75.0
1651488540000,93.0
1651488600000,60.0
1651488660000,86.0
1651488720000,63.0
1651488780000,80.0
1651488840000,72.0
1651488900000,90.0
1651488960000,77.0
1651489020000,79.0
1651489080000,85.0
1651489140000,72.0
1651489200000,73.0
1651489260000,73.0
1651489320000,75.0
1651489380000,80.0
1651489440000,71.0
1651489500000,73.0
1651489560000,72.0
1651489620000,68.0
1651489680000,87.0
1651489740000,70.0
1651489800000,80.0
1651489860000,71.0
1651489920000,78.0
1651489980000,63.0
1651490040000,80.0
1651490100000,67.0
1651490160000,87.0
1651490220000,61.0
1651490280000,82.0
1651490340000,68.0
1651490400000,82.0
1651490460000,73.0
1651490520000,84.0
1651490580000,76.0
1651490640000,76.0
1651490700000,79.0
1651490760000,72.0
1651490820000,76.0
1651490880000,85.0
1651490940000,72.0
1651491000000,85.0
1651491060000,79.0
1651491120000,79.0
1651491180000,74.0
1651491240000,76.0
1651491300000,77.0
1651491360000,76.0
1651491420000,68.0
1651491480000,80.0
1651491540000,68.0
1651491600000,74.0
1651491660000,78.0
1651491720000,79.0
1651491780000,72.0
1651491840000,75.0
1651491900000,81.0
1651491960000,68.0
1651492020000,81.0
1651492080000,75.0
1651492140000,81.0
1651492200000,67.0
1651492260000,93.0
1651492320000,71.0
1651492380000,86.0
1651492440000,70.0
1651492500000,81.0
1651492560000,67.0
1651492620000,87.0
1651492680000,77.0
1651492740000,73.0
1651492800000,79.0
1651492860000,79.0
1651492920000,78.0
1651492980000,70.0
1651493040000,75.0
1651493100000,77.0
1651493160000,77.0
1651493220000,77.0
1651493280000,76.0
1651493340000,72.0
1651493400000,65.0
1651493460000,67.0
1651493520000,72.0
1651493580000,82.0
1651493640000,69.0
1651493700000,84.0
1651493760000,68.0
1651493820000,83.0
1651493880000,74.0
1651493940000,83.0
1651494000000,78.0
1651494060000,81.0
1651494120000,60.0
1651494180000,84.0
1651494240000,70.0
1651494300000,84.0
1651494360000,60.0
1651494420000,85.0
1651494480000,71.0
1651494540000,88.0
1651494600000,65.0
1651494660000,80.0
1651494720000,78.0
1651494780000,76.0
1651494840000,71.0
1651494900000,78.0
1651494960000,78.0
1651495020000,64.0
1651495080000,92.0
1651495140000,63.0
1651495200000,86.0
1651495260000,60.0
1651495320000,86.0
1651495380000,62.0
1651495440000,82.0
1651495500000,71.0
1651495560000,85.0
1651495620000,63.0
1651495680000,91.0
1651495740000,70.0
1651495800000,88.0
1651495860000,64.0
1651495920000,90.0
1651495980000,73.0
1651496040000,82.0
1651496100000,76.0
1651496160000,75.0
1651496220000,74.0
1651496280000,81.0
1651496340000,69.0
1651496400000,64.0
1651496460000,64.0
1651496520000,79.0
1651496580000,68.0
1651496640000,87.0
1651496700000,69.0
1651496760000,87.0
1651496820000,66.0
1651496880000,70.0
1651496940000,76.0
1651497000000,72.0
